record_key,pid,row_number,join_type,method,key_used,target_id,evidence_ref,note
N00039-23-RFPREQ-PMW-740-0070,N00039-23-RFPREQ-PMW-740-0070,10,contact,explicit,"Ellis, Kimberly",cobs:lrae:pmw-740:elliskimberly,LRAE Annex 25!V10,secondary_poc on the row matches a contact observation for the same office
N00039-23-RFPREQ-PMW-740-0070,N00039-23-RFPREQ-PMW-740-0070,10,contact,explicit,"White, Kristin",cobs:lrae:pmw-740:whitekristin,LRAE Annex 25!T10,contracting_poc on the row matches a contact observation for the same office
N00039-23-RFPREQ-PMW-740-0070,N00039-23-RFPREQ-PMW-740-0070,10,notice,explicit,N00039-23-RFPREQ-PMW-740-0070,,sha256:81b72cdd8107443d70824837d2e5b1d6369cd4fcccda3a1fd5749dedfeed904b; sha256:fe1895f6274f8411e9ff3b807c05d37fded49b72bf7cd1d17317eabd47d65996,SAM.gov search returned no notice containing the key
N00039-23-RFPREQ-PMW-740-0070,N00039-23-RFPREQ-PMW-740-0070,10,office,explicit,PMW-740,pmw:740,LRAE Annex 25!C10; organization_seed.json alias table,requirement-office code matched an alias
N00039-24-RFPREQ-PMW-740-0052,N00039-24-RFPREQ-PMW-740-0052,14,contact,explicit,"Uriostigue, Magdalena",cobs:lrae:pmw-740:uriostiguemagdalena,LRAE Annex 25!V14,secondary_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-740-0052,N00039-24-RFPREQ-PMW-740-0052,14,contact,explicit,"White, Kristin",cobs:lrae:pmw-740:whitekristin,LRAE Annex 25!T14,contracting_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-740-0052,N00039-24-RFPREQ-PMW-740-0052,14,existing_contract,explicit,N0003920F3015,fpds:N0003920F3015,sha256:959dd6d6a616dd1b126445c207ff80fc87aebcbdd6578d6c1fe0523f5ca32836,FPDS entries=10; contracting N00039; funding N00039; vendor SCIENCE APPLICATIONS INTERNATIONAL CORPORATION; idv -; first signed 2020-08-12
N00039-24-RFPREQ-PMW-740-0052,N00039-24-RFPREQ-PMW-740-0052,14,existing_contract,explicit,N0017819D8470,fpds:N0017819D8470,sha256:30b089288ebd294fd7379d7e06cde16317f41927203e783280fdbaa137cb1981,FPDS entries=10; contracting N00178; funding N00178; vendor SCIENCE APPLICATIONS INTERNATIONAL CORPORATION; idv -; first signed 2018-12-03
N00039-24-RFPREQ-PMW-740-0052,N00039-24-RFPREQ-PMW-740-0052,14,notice,explicit,N00039-24-RFPREQ-PMW-740-0052,,sha256:f1a7818db7a6c3544d5c10a717818f2c74a4ae641250a8f0b2e6a355ddd6c5dc; sha256:ed259850a42a690aa43df02d5d8b34605aa6c623967a7f3b8dc6009bdd4e7263,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-740-0052,N00039-24-RFPREQ-PMW-740-0052,14,notice,explicit,N0003920F3015,,sha256:4725d2591f43a1294af2b25ec8b3ff1c73c4d16dcf27a1a4ed81320768b53c2d; sha256:be92f032d9e44c4d3c1b070eed57e6b41c79827bdefc44f6a361d7783280a0be,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-740-0052,N00039-24-RFPREQ-PMW-740-0052,14,notice,explicit,N0017819D8470,,sha256:3c62532cd9ec604e8951b23d588a2f906e14eda82a19102df853dc3843379cd9; sha256:7c9f3555331b002031b0f9de4b80eb6905806eef3d7f2bb067a625a18a835656,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-740-0052,N00039-24-RFPREQ-PMW-740-0052,14,notice,inferred,N00039-24-RFPREQ-PMW-740-0052,attribution:EX08,attribution_examples.json EX08,"forecast row linked to award N0003920F3015 by office, title and existing contract; 1 SAM.gov notice(s) cited on that award; evidence class inferred"
N00039-24-RFPREQ-PMW-740-0052,N00039-24-RFPREQ-PMW-740-0052,14,office,explicit,PMW-740,pmw:740,LRAE Annex 25!C14; organization_seed.json alias table,requirement-office code matched an alias
N00039-24-RFPREQ-PMW-740-0053,N00039-24-RFPREQ-PMW-740-0053,15,contact,explicit,"Lawson, Kyle L.",cobs:lrae:pmw-740:lawsonkylel,LRAE Annex 25!V15,secondary_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-740-0053,N00039-24-RFPREQ-PMW-740-0053,15,contact,explicit,"White, Kristin",cobs:lrae:pmw-740:whitekristin,LRAE Annex 25!T15,contracting_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-740-0053,N00039-24-RFPREQ-PMW-740-0053,15,existing_contract,explicit,N0003921F3001,fpds:N0003921F3001,sha256:1310f207aeff96d07fda67879e9e70901da14bc31b956d1844baa8a1cb522966,"FPDS entries=10; contracting N00039; funding N00039; vendor SALIENT CRGT, INC.; idv -; first signed 2020-10-06"
N00039-24-RFPREQ-PMW-740-0053,N00039-24-RFPREQ-PMW-740-0053,15,existing_contract,explicit,N0017819D8453,fpds:N0017819D8453,sha256:197f6545f8fb1e48cd256074a235ccc954cc50b20f5efbd5fe930b5a601d58cf,"FPDS entries=10; contracting N00178; funding N00178; vendor SALIENT CRGT, INC.; idv -; first signed 2018-12-03"
N00039-24-RFPREQ-PMW-740-0053,N00039-24-RFPREQ-PMW-740-0053,15,notice,explicit,N00039-24-RFPREQ-PMW-740-0053,,sha256:ee3227a4d44f275c6438e517a2b05cb4fbb897f3a72d3ae10b5fc2095c2d5905; sha256:7c55316546ba640d219ba973719e6c59e02c88b5a522a7f8cf051f7fce54d9d6,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-740-0053,N00039-24-RFPREQ-PMW-740-0053,15,notice,explicit,N0003921F3001,,sha256:88f4c3a7c4dfa3114e08de7f90d99d3e50097cddc158c14e1afacd8529618418; sha256:e718e19c5a212d2a19de7a82cb086aee0155affdd8685692fd475a19ae1e34fd,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-740-0053,N00039-24-RFPREQ-PMW-740-0053,15,notice,explicit,N0017819D8453,,sha256:0e64bdd125466796a8a9dc2634fbc3b968bf4bd7cd2cd9885554638c4188a392; sha256:743cd0bcae57f9fca3acdd6e6cb92baf2a1df105181da502110d1a6a465c9389,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-740-0053,N00039-24-RFPREQ-PMW-740-0053,15,office,explicit,PMW-740,pmw:740,LRAE Annex 25!C15; organization_seed.json alias table,requirement-office code matched an alias
N00039-25-RFPREQ-PMW-160-0001,N00039-25-RFPREQ-PMW-160-0001,16,contact,explicit,"Cohn, Andrea M.",cobs:lrae:pmw-160:cohnandream,LRAE Annex 25!V16,secondary_poc on the row matches a contact observation for the same office
N00039-25-RFPREQ-PMW-160-0001,N00039-25-RFPREQ-PMW-160-0001,16,contact,explicit,"Wiker, Susana",cobs:lrae:pmw-160:wikersusana,LRAE Annex 25!T16,contracting_poc on the row matches a contact observation for the same office
N00039-25-RFPREQ-PMW-160-0001,N00039-25-RFPREQ-PMW-160-0001,16,notice,explicit,N00039-25-RFPREQ-PMW-160-0001,,sha256:606e0ec68972eee0c6160c10bae90b9d63765a0dc5d1a2cb37b421037cd57fcb; sha256:a6f7bf0f3585baa408841909b6f39eacd5937e502f7b14fa754227af79a6d37c,SAM.gov search returned no notice containing the key
N00039-25-RFPREQ-PMW-160-0001,N00039-25-RFPREQ-PMW-160-0001,16,office,explicit,PMW-160,pmw:160,LRAE Annex 25!C16; organization_seed.json alias table,requirement-office code matched an alias
N00039-24-RFPREQ-PMW/A-170-0061,N00039-24-RFPREQ-PMW/A-170-0061,17,contact,explicit,"Erickson, Blake",cobs:lrae:pmw-170:ericksonblake,LRAE Annex 25!V17,secondary_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW/A-170-0061,N00039-24-RFPREQ-PMW/A-170-0061,17,contact,explicit,"Murr, Christopher",cobs:lrae:pmw-170:murrchristopher,LRAE Annex 25!T17,contracting_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW/A-170-0061,N00039-24-RFPREQ-PMW/A-170-0061,17,notice,explicit,N00039-24-RFPREQ-PMW/A-170-0061,,sha256:fc09360af2c3fea4016032d2a6ff1abe6149aa8b55505442ebecbc285e64dabe; sha256:75482757cee68165e92168d3321b1fd0919b94d798b8054fc10b393538095f74,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW/A-170-0061,N00039-24-RFPREQ-PMW/A-170-0061,17,office,explicit,PMW/A-170,pmw:170,LRAE Annex 25!C17; organization_seed.json alias table,requirement-office code matched an alias
N00039-24-RFPREQ-PMW-770-0011,N00039-24-RFPREQ-PMW-770-0011,18,contact,explicit,"Ferlo, Michael",cobs:lrae:pmw-770:ferlomichael,LRAE Annex 25!V18,secondary_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-770-0011,N00039-24-RFPREQ-PMW-770-0011,18,contact,explicit,"Murr, Christopher",cobs:lrae:pmw-770:murrchristopher,LRAE Annex 25!T18,contracting_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-770-0011,N00039-24-RFPREQ-PMW-770-0011,18,notice,explicit,N00039-24-RFPREQ-PMW-770-0011,,sha256:3fcc88adf031f171106d2e66afd1624059fffc635cd25d3c16ecd489df9d4213; sha256:7082c7506c5fa6031cdf739fadd79b4ddea2e54e13da49b1dc03cf422ac70dd2,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-770-0011,N00039-24-RFPREQ-PMW-770-0011,18,office,explicit,PMW-770,pmw:770,LRAE Annex 25!C18; organization_seed.json alias table,requirement-office code matched an alias
N00039-24-RFPREQ-PMW/A-170-0170,N00039-24-RFPREQ-PMW/A-170-0170,19,contact,explicit,"Barker, Adam",cobs:lrae:pmw-170:barkeradam,LRAE Annex 25!V19,secondary_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW/A-170-0170,N00039-24-RFPREQ-PMW/A-170-0170,19,contact,explicit,"Holtet, Alexander",cobs:lrae:pmw-170:holtetalexander,LRAE Annex 25!T19,contracting_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW/A-170-0170,N00039-24-RFPREQ-PMW/A-170-0170,19,notice,explicit,N00039-24-RFPREQ-PMW/A-170-0170,,sha256:8854a5487c21ed69e560b222dd979198cdf195b13eff6ba455f240b8ce3b329c; sha256:8e24f11067384f2872fae7f2de9d374bd7c2139395d134fa4a7daeb7149fc4a4,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW/A-170-0170,N00039-24-RFPREQ-PMW/A-170-0170,19,office,explicit,PMW/A-170,pmw:170,LRAE Annex 25!C19; organization_seed.json alias table,requirement-office code matched an alias
N00039-22-RFPREQ-PMW/A-170-0002,N00039-22-RFPREQ-PMW/A-170-0002,97,contact,explicit,"BECKER, STEFFANY A.",cobs:lrae:pmw-170:beckersteffanya,LRAE Annex 25!V97,secondary_poc on the row matches a contact observation for the same office
N00039-22-RFPREQ-PMW/A-170-0002,N00039-22-RFPREQ-PMW/A-170-0002,97,contact,explicit,"Ward, Julie",cobs:lrae:pmw-170:wardjulie,LRAE Annex 25!T97,contracting_poc on the row matches a contact observation for the same office
N00039-22-RFPREQ-PMW/A-170-0002,N00039-22-RFPREQ-PMW/A-170-0002,97,existing_contract,explicit,N0003914C00041,,LRAE Annex 25!O97,no contract identifier pattern recognised in the cell
N00039-22-RFPREQ-PMW/A-170-0002,N00039-22-RFPREQ-PMW/A-170-0002,97,notice,explicit,N00039-22-RFPREQ-PMW/A-170-0002,,sha256:3e55d3122dde8cd5ef692e5ce7e12c88d5d177c045225cc98590631a22cc19e6; sha256:5885ec570e2ee8f2e05a71c66868ea33d251bf8abf1e474510759770a078800f,SAM.gov search returned no notice containing the key
N00039-22-RFPREQ-PMW/A-170-0002,N00039-22-RFPREQ-PMW/A-170-0002,97,office,explicit,PMW/A-170,pmw:170,LRAE Annex 25!C97; organization_seed.json alias table,requirement-office code matched an alias
N00039-24-RFPREQ-PMW/A-170-0013,N00039-24-RFPREQ-PMW/A-170-0013,98,contact,explicit,"Holtet, Alexander",cobs:lrae:pmw-170:holtetalexander,LRAE Annex 25!T98,contracting_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW/A-170-0013,N00039-24-RFPREQ-PMW/A-170-0013,98,contact,explicit,"Joworski, Tyler",cobs:lrae:pmw-170:joworskityler,LRAE Annex 25!V98,secondary_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW/A-170-0013,N00039-24-RFPREQ-PMW/A-170-0013,98,notice,explicit,N00039-24-RFPREQ-PMW/A-170-0013,,sha256:25741ef3e043840e2810959996849bb82dc3b1b17577839f78bba59e9aef6231; sha256:40c5c542dd07186727a025150c61dafd2d891a68201bbe55959886bab001b9bd,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW/A-170-0013,N00039-24-RFPREQ-PMW/A-170-0013,98,office,explicit,PMW/A-170,pmw:170,LRAE Annex 25!C98; organization_seed.json alias table,requirement-office code matched an alias
N00039-22-RFPREQ-PMW/A-170-0021,N00039-22-RFPREQ-PMW/A-170-0021,99,contact,explicit,"Barker, Adam",cobs:lrae:pmw-170:barkeradam,LRAE Annex 25!V99,secondary_poc on the row matches a contact observation for the same office
N00039-22-RFPREQ-PMW/A-170-0021,N00039-22-RFPREQ-PMW/A-170-0021,99,contact,explicit,"Nickel, Kenneth",cobs:lrae:pmw-170:nickelkenneth,LRAE Annex 25!T99,contracting_poc on the row matches a contact observation for the same office
N00039-22-RFPREQ-PMW/A-170-0021,N00039-22-RFPREQ-PMW/A-170-0021,99,existing_contract,explicit,N0003916C0050,fpds:N0003916C0050,sha256:0229a9640ee66cd74c7e15780168767a5cdef6aed6f327edd4acc98e80d875a9,FPDS entries=10; contracting N00039; funding N00039; vendor RAYTHEON COMPANY; idv -; first signed 2015-12-29
N00039-22-RFPREQ-PMW/A-170-0021,N00039-22-RFPREQ-PMW/A-170-0021,99,notice,explicit,N00039-22-RFPREQ-PMW/A-170-0021,,sha256:c99b923c4a7cc3a0f781adc27ee0e37adad3fe6c6e0981ef670375174d0dd681; sha256:2ed8c610fe6a438b9524594d3c345eaf3bc0ee08d67701b60b9ff0ed97405b60,SAM.gov search returned no notice containing the key
N00039-22-RFPREQ-PMW/A-170-0021,N00039-22-RFPREQ-PMW/A-170-0021,99,notice,explicit,N0003916C0050,,sha256:4006fa044a1585e0c9c3f803d14de43c614e911d746081ad6a9b632b763662ec; sha256:804495c9f4bddbc220c4f74d40868fe801a9f1123211fd65d3d1acb66d487f8a,SAM.gov search returned no notice containing the key
N00039-22-RFPREQ-PMW/A-170-0021,N00039-22-RFPREQ-PMW/A-170-0021,99,office,explicit,PMW/A-170,pmw:170,LRAE Annex 25!C99; organization_seed.json alias table,requirement-office code matched an alias
N00039-23-RFPREQ-PMW/A-170-0155,N00039-23-RFPREQ-PMW/A-170-0155,100,contact,explicit,"MUNIZ, BENJAMIN",cobs:lrae:pmw-170:munizbenjamin,LRAE Annex 25!V100,secondary_poc on the row matches a contact observation for the same office
N00039-23-RFPREQ-PMW/A-170-0155,N00039-23-RFPREQ-PMW/A-170-0155,100,contact,explicit,"Ward, Julie",cobs:lrae:pmw-170:wardjulie,LRAE Annex 25!T100,contracting_poc on the row matches a contact observation for the same office
N00039-23-RFPREQ-PMW/A-170-0155,N00039-23-RFPREQ-PMW/A-170-0155,100,notice,explicit,N00039-23-RFPREQ-PMW/A-170-0155,,sha256:309e7fd04b844fc5572d688648e64500be0d724ec81c31bd8d504ef52c5b80ac; sha256:5a740de980d1f1b5ccbe08e32d61ddb07cc9ebe51a202bd726166ce833c164b1,SAM.gov search returned no notice containing the key
N00039-23-RFPREQ-PMW/A-170-0155,N00039-23-RFPREQ-PMW/A-170-0155,100,office,explicit,PMW/A-170,pmw:170,LRAE Annex 25!C100; organization_seed.json alias table,requirement-office code matched an alias
N00039-23-RFPREQ-PMW/A-170-0173,N00039-23-RFPREQ-PMW/A-170-0173,101,contact,explicit,"Murr, Christopher",cobs:lrae:pmw-170:murrchristopher,LRAE Annex 25!T101,contracting_poc on the row matches a contact observation for the same office
N00039-23-RFPREQ-PMW/A-170-0173,N00039-23-RFPREQ-PMW/A-170-0173,101,contact,explicit,"REYES, MARC",cobs:lrae:pmw-170:reyesmarc,LRAE Annex 25!V101,secondary_poc on the row matches a contact observation for the same office
N00039-23-RFPREQ-PMW/A-170-0173,N00039-23-RFPREQ-PMW/A-170-0173,101,notice,explicit,N00039-23-RFPREQ-PMW/A-170-0173,,sha256:5433ffa10c51c433da789ad503e696d05ad9c7e8147577bf9ac85afa1ce8c628; sha256:e1c40e1d283e2c6c39f73dc91398f086c3388ba918cee06c56a09562998a123b,SAM.gov search returned no notice containing the key
N00039-23-RFPREQ-PMW/A-170-0173,N00039-23-RFPREQ-PMW/A-170-0173,101,office,explicit,PMW/A-170,pmw:170,LRAE Annex 25!C101; organization_seed.json alias table,requirement-office code matched an alias
N00039-24-RFPREQ-PMW-750-0001,N00039-24-RFPREQ-PMW-750-0001,103,contact,explicit,"Griffin, Brian",cobs:lrae:pmw-750:griffinbrian,LRAE Annex 25!T103,contracting_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-750-0001,N00039-24-RFPREQ-PMW-750-0001,103,contact,explicit,"Terrell, Kamilah A.",cobs:lrae:pmw-750:terrellkamilaha,LRAE Annex 25!V103,secondary_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-750-0001,N00039-24-RFPREQ-PMW-750-0001,103,notice,explicit,N00039-24-RFPREQ-PMW-750-0001,,sha256:c7d37aa73bc7955312beaac13113afbf78f73d1c386303d214426b4a58f7c83e; sha256:42d759e95ecb0c182cae85e67fc45249a3400f090f99877a0ff714a2f2b2d82c,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-750-0001,N00039-24-RFPREQ-PMW-750-0001,103,office,explicit,PMW-750,pmw:750,LRAE Annex 25!C103; organization_seed.json alias table,requirement-office code matched an alias
N00039-24-RFPREQ-PMW-750-0002,N00039-24-RFPREQ-PMW-750-0002,104,contact,explicit,"Griffin, Brian",cobs:lrae:pmw-750:griffinbrian,LRAE Annex 25!T104,contracting_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-750-0002,N00039-24-RFPREQ-PMW-750-0002,104,contact,explicit,"Terrell, Kamilah A.",cobs:lrae:pmw-750:terrellkamilaha,LRAE Annex 25!V104,secondary_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-750-0002,N00039-24-RFPREQ-PMW-750-0002,104,notice,explicit,N00039-24-RFPREQ-PMW-750-0002,,sha256:d928851818efc9ce92ff626473f699146a8df9a3e1eabdd08d81608d0033aea9; sha256:f5d41be81051bb105dd96f169511767e7416e0a96ad17e071b378ebc8d27756d,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-750-0002,N00039-24-RFPREQ-PMW-750-0002,104,office,explicit,PMW-750,pmw:750,LRAE Annex 25!C104; organization_seed.json alias table,requirement-office code matched an alias
N00039-24-RFPREQ-PMW-750-0003,N00039-24-RFPREQ-PMW-750-0003,105,contact,explicit,"Brewer, Lynette",cobs:lrae:pmw-750:brewerlynette,LRAE Annex 25!V105,secondary_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-750-0003,N00039-24-RFPREQ-PMW-750-0003,105,contact,explicit,"Griffin, Brian",cobs:lrae:pmw-750:griffinbrian,LRAE Annex 25!T105,contracting_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-750-0003,N00039-24-RFPREQ-PMW-750-0003,105,notice,explicit,N00039-24-RFPREQ-PMW-750-0003,,sha256:1c543ccef2dd129cf4e92df800075309dafabe90e82c015eb3ea85baaf3f9384; sha256:bad76dd5ae36da8f1cd0ea90d5c2a8519ce3956163ad298e1ce767042a6c3270,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-750-0003,N00039-24-RFPREQ-PMW-750-0003,105,office,explicit,PMW-750,pmw:750,LRAE Annex 25!C105; organization_seed.json alias table,requirement-office code matched an alias
N00039-24-RFPREQ-PMW-120-0001,N00039-24-RFPREQ-PMW-120-0001,106,contact,explicit,"Ashley, Megan",cobs:lrae:pmw-120:ashleymegan,LRAE Annex 25!V106,secondary_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-120-0001,N00039-24-RFPREQ-PMW-120-0001,106,contact,explicit,"Odonnell, Brian",cobs:lrae:pmw-120:odonnellbrian,LRAE Annex 25!T106,contracting_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PMW-120-0001,N00039-24-RFPREQ-PMW-120-0001,106,existing_contract,explicit,N0003921F3003,fpds:N0003921F3003,sha256:b31ab988ae49bd5c1073226178906b999c7d7b886d4c3cd5944597af75377d0b,FPDS entries=10; contracting N00039; funding N00039; vendor BOOZ ALLEN HAMILTON INC.; idv -; first signed 2021-01-25
N00039-24-RFPREQ-PMW-120-0001,N00039-24-RFPREQ-PMW-120-0001,106,existing_contract,explicit,N0017819D7264,fpds:N0017819D7264,sha256:202314b8c6b6fd6bd30bec03aec13fb6df3baf75d5879fe50250a18801104e07,FPDS entries=10; contracting N00178; funding N00178; vendor BOOZ ALLEN HAMILTON INC.; idv -; first signed 2018-12-03
N00039-24-RFPREQ-PMW-120-0001,N00039-24-RFPREQ-PMW-120-0001,106,notice,explicit,N00039-24-RFPREQ-PMW-120-0001,,sha256:ccc6882129a236c872413e78f6561f904ceb395bf6ef3e9b19756caf30ad380a; sha256:44a25f53f5cf3790f888b70034d2c7c45807814eeb32eab808984c3da8860c2f,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-120-0001,N00039-24-RFPREQ-PMW-120-0001,106,notice,explicit,N0003921F3003,,sha256:e081bb84258658f5297f4ddb10e89743a689f18a63fd48e53562c2723723899f; sha256:a6636bc1ec897ca1a55fbdb0a6e3c20ec746f06cf34ae70f4e02363d582bcc89,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-120-0001,N00039-24-RFPREQ-PMW-120-0001,106,notice,explicit,N0017819D7264,,sha256:479a4af4e997b8b580bb7bcb4ce96a267bc444c2522f6c41f29115a9ff09a231; sha256:d3753c0612eafda23b7c29112df20ce42a793bfdf3cb69119830d3301e58f906,SAM.gov search returned no notice containing the key
N00039-24-RFPREQ-PMW-120-0001,N00039-24-RFPREQ-PMW-120-0001,106,notice,inferred,N00039-24-RFPREQ-PMW-120-0001,attribution:EX04,attribution_examples.json EX04,"forecast row linked to award N0003921F3003 by office, title and existing contract; 0 SAM.gov notice(s) cited on that award; evidence class directly_documented"
N00039-24-RFPREQ-PMW-120-0001,N00039-24-RFPREQ-PMW-120-0001,106,office,explicit,PMW-120,pmw:120,LRAE Annex 25!C106; organization_seed.json alias table,requirement-office code matched an alias
N00039-24-RFPREQ-PEO-C4I-0001,N00039-24-RFPREQ-PEO-C4I-0001,107,contact,explicit,"Ashley, Megan",cobs:lrae:peo-c4i:ashleymegan,LRAE Annex 25!V107,secondary_poc on the row matches a contact observation for the same office
N00039-24-RFPREQ-PEO-C4I-0001,N00039-24-RFPREQ-PEO-C4I-0001,107,contact,explicit,"Odonnell, Brian",cobs:lrae:peo-c4i:odonnellbrian,LRAE Annex 25!T107,contracting_poc on the row matches a contact observation for the same office
